loan_number,city,state,date_acquired,interest_rate,book_value
3310036937,Fitchburg,IN,06/07/2022,7.2,78230
3310036945,Los Angeles,NJ,06/07/2022,6.85,164657
3310036987,Montclair,TN,06/07/2022,6.55,65332
3310037003,Sea Isle City,NJ,06/15/2022,6.55,99297
3310037020,Bergenfield,NJ,06/15/2022,7.09,160776
3310037152,Bayonet Point,FL,06/15/2022,6.67,92807
3310037159,Lodi,CT,06/23/2022,6.72,64944
3310037178,Burnham,NJ,06/23/2022,6.55,178164
3310037192,Baltimore,TN,06/29/2022,7.55,21264
3310037203,East Orange,IL,06/15/2022,6.52,28835
3310037239,Pontiac,MA,06/15/2022,6.89,106722
3310037245,East Stroudsburg,MD,06/15/2022,6.45,25740
3310037272,Fort Lauderdale,DE,06/07/2022,6.75,92664
3310037278,Hicksville,NJ,06/15/2022,6.71,84150
3310037314,Chicago,MA,06/29/2022,8.743,188219
3310037335,Vineland,MI,06/15/2022,6.92,14850
3310037367,Plainfield,NY,06/29/2022,6.55,169488
3310037384,Brooklyn,PA,06/15/2022,6.05,81616
3310037405,Beverly Hills,FL,06/15/2022,6.72,172854
3310037417,Irvington,FL,06/15/2022,6.72,218473
3310037440,Chicago Heights,NY,06/23/2022,5.7,186100
3310037453,Fort Washington,NY,06/15/2022,6.72,182833
3310037487,Nanuet,NY,06/07/2022,5.7,128895
3310037497,Stamford,IL,06/29/2022,6.75,18612
3310037543,Chicago,NY,06/15/2022,6.45,138600
3310037560,Trenton,NJ,06/15/2022,6.92,53973
3310037567,Saint James,PA,06/29/2022,6.55,48807
3310037590,Richmond,NJ,06/15/2022,6.45,92664
3310037608,New Haven,NJ,06/15/2022,6.71,147478
3310037640,Newark,NY,06/29/2022,6.05,146124
3310037704,Dania Beach,NY,06/29/2022,6.76,93456
3310037712,Plainfield,NY,06/15/2022,6.45,150876
3310037724,Paterson,NJ,06/29/2022,6.92,106528
3310037769,Paterson,CT,06/23/2022,5.665,70587
3310037917,Duquesne,PA,06/29/2022,6.72,45738
3310037938,Copper City,NJ,06/29/2022,7.05,25997
3310037968,Farmingville,FL,06/29/2022,6.82,241283
3310037986,East Orange,CA,06/29/2022,6.015,115830
3310038067,East Orange,NY,06/23/2022,6.75,153074
3310038123,Brooklyn,MI,06/29/2022,6.92,9755
3310038346,Union City,NJ,06/29/2022,6.66,170775
3310038416,Washington,NY,06/23/2022,6.46,121859
3310038475,Centereach,NJ,06/29/2022,6.66,172260
100083287,Miami,NJ,06/29/2022,6.66,148500
100083285,City Of Orange,NY,06/29/2022,6.008,217008
100083289,Camden,NJ,06/29/2022,6.92,118800
100082717,San Jose Del Cabo,NJ,06/23/2022,5.686,185328
100082715,Glendale,MI,06/29/2022,6.92,7128
100082718,San Jose Del Cabo,DC,06/29/2022,5.665,210276
100083441,Teesside,PA,06/29/2022,6.82,77672
100083442,Birmingham,NY,06/23/2022,6.75,146124
100083443,Nottingham,NY,06/29/2022,6.72,160380
100083448,Stockport,FL,06/29/2022,6.3,745470
100083444,Cardiff,NY,06/29/2022,6.72,126324
100083445,Newport,NJ,06/29/2022,6.93,148262
100083447,Birmingham,NY,06/29/2022,6.95,100188
100084354,Liverpool,CA,05/27/2022,0.079,256750
100084356,North West London,MEX,05/12/2022,0.08,233104
100084358,Slough,MEX,05/12/2022,0.078,2500000
100084362,Portsmouth,GA,05/27/2022,0.08,304289
100084364,Preston,MEX,05/12/2022,0.08,100190
100084366,Manchester,GBR,04/26/2022,5.99,189137
18031A1,Burlington,MA,05/17/2022,5.0,45100000
2200401,Palm Springs,CA,06/01/2022,3.75,46500000
7200405,Sylmar,CA,11/24/2020,5.75,755013
7200436,Miami Beach,FL,04/15/2021,3.85,338967
7200438,"Washington, Dc",DC,03/12/2021,4.5,57000000
7200445,Park Royal,GBR,05/19/2021,4.331,9150000
7200457,Richmond,VA,06/18/2021,3.7,1704306
2001001,Arlington,VA,08/14/2020,5.812,724447
2100101,Daly City,CA,05/26/2021,4.062,99970
2100501,Charlotte,NC,06/30/2021,4.612,462987
2100601,Oregon City,OR,06/30/2021,4.562,183892
2100901,Miami,FL,08/13/2021,4.912,62172
2101101,Vancouver,WA,08/26/2021,4.412,156816
2101301,Vancouver,WA,12/02/2021,4.412,158776
100073489,Picture Rocks,PA,11/01/2021,3.375,292
100069376,Antioch,TN,09/01/2021,3.625,404056216
