period,schedule_type,t_state,t_state_code,t_life,t_annuity,t_ah,t_other,t_total,t_deposit,b_loan_number,b_city,b_state,b_date_acquired,b_interest_rate,b_book_value,b_land_value,b_appraisal_date,ba_name,ba_state,ba_date_acquired,ba_actual_cost,ba_fair_value,ba_book_value,ba_investment_income,ba_ownership_pct,d_category,d_naic_designation,d_total_current_year,d_total_prior_year
2022Q1,t,Iowa,IA,4151485,25501882,6251991,0,35905358,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Kentucky,KY,2049912,9110854,1709137,0,12869903,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Louisiana,LA,751008,323716,967938,0,2042662,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Maryland,MD,2561680,8070478,1995458,0,12627615,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Massachusetts,MA,1655637,5997921,2356188,0,10009746,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Minnesota,MN,2212734,8908620,2463359,0,13584713,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Mississippi,MS,657220,543907,1017500,0,2218626,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Montana,MT,368698,544207,711959,0,1624864,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Nebraska,NE,917154,4288094,2431628,0,7636876,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,New Hampshire,NH,693347,4564481,2651052,0,7908881,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,New Jersey,NJ,3986857,7993912,7154705,0,19135474,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,New York,NY,322666,1594635,385436,0,2302737,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,North Carolina,NC,4834958,26334888,5940397,0,37110243,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Ohio,OH,4586841,10576426,4175038,0,19338305,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Oklahoma,OK,793711,976284,1545398,0,3315393,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Pennsylvania,PA,7634262,27279285,9256559,0,44170107,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Rhode Island,RI,1068646,7590216,867716,0,9526578,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,South Dakota,SD,207256,158693,1142502,0,1508451,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Tennessee,TN,2627572,9776106,2922025,0,15325703,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Utah,UT,322870,563539,572713,0,1459122,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Vermont,VT,439656,655212,1120308,0,2215176,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Washington,WA,2417243,8693717,5761286,0,16872245,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,West Virginia,WV,1618048,5333049,1356518,0,8307614,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Wyoming,WY,87876,8500,279617,0,375993,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,American Samoa,AS,1187,0,0,0,1187,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,Puerto Rico,PR,14671,2040,0,0,16711,0,,,,,,,,,,,,,,,,,,,,
2022Q1,t,U.S. Virgin Islands,VI,1683,1343,0,0,3026,0,,,,,,,,,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1448,Charlotte,NC,12/11/2007,6.2,5052655,18013542,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1561,Bloomington,MN,09/28/2007,5.85,1195416,13159838,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1673,,CF,06/19/2012,4.05,4467469,12318045,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1678,Fishers,IN,08/16/2012,4.15,13460111,32473031,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1692,,CF,03/01/2013,3.65,21979276,66053362,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1705,Concord,CA,11/07/2013,4.5,12825671,61615606,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1709,Verona,WI,10/23/2013,4.33,7570428,17494206,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1711,Mcdonough,GA,12/03/2013,4.95,15850000,65216901,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1727,Jacksonville,FL,10/27/2014,4.15,2441586,11875587,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1728,,CF,05/28/2014,4.58,18529284,57312095,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1729,Pasadena,MD,11/03/2014,4.59,5554305,16436995,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1730,,CF,05/22/2014,4.56,17382916,38500316,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1733,Austin,TX,08/14/2014,4.25,3492524,22633892,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1734,Olney,MD,12/01/2014,4.35,17744241,22023001,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1736,Pleasant Hill,CA,11/24/2014,4.01,10385234,33308278,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1746,,CF,11/10/2014,4.09,10071948,14461526,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1747,,CF,11/10/2014,4.09,7553963,12451028,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1748,Lutherville-Timonium,MD,12/12/2014,4.0,16092303,45197246,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1750,,CF,01/28/2015,4.0,12767578,21297524,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1755,Indian Trail,NC,03/06/2015,4.0,5747167,16203457,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1764,Fishers,IN,08/05/2015,4.05,17008902,35843400,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1766,,CF,07/29/2015,4.33,15473493,57716436,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1768,Cerritos,CA,10/15/2015,4.16,6000000,37661618,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1769,Camarillo,CA,10/29/2015,4.2,5520994,24309793,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1770,,CF,12/10/2015,4.0,16694658,33269583,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1781,,CF,12/15/2016,3.73,5522683,14987867,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1785,,CF,02/28/2017,3.68,6800389,16087365,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1787,,CF,12/13/2016,3.61,4800000,56271629,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1788,,CF,12/13/2016,3.61,2500000,28946600,12/31/2022,,,,,,,,,,,,
2022Q4,b,,,,,,,,,1789,,CF,01/24/2017,3.61,1800000,20910429,12/31/2022,,,,,,,,,,,,
