entity,period,state,state_code,life,annuity,ah,other,total,deposit
BLC,2022Q1,Arkansas,AR,843695,1165409,1111499,0,3120604,0
BLC,2022Q1,Colorado,CO,1949199,7160074,3034067,0,12143340,0
BLC,2022Q1,Connecticut,CT,2154368,7148089,2598477,0,11900934,0
BLC,2022Q1,District Of Columbia,DC,234335,100750,108884,0,443969,0
BLC,2022Q1,Florida,FL,12773576,43277779,16823266,0,72874622,0
BLC,2022Q1,Hawaii,HI,348223,3225,472764,0,824212,0
BLC,2022Q1,Idaho,ID,430833,570347,1295307,0,2296487,0
BLC,2022Q1,Indiana,IN,4785025,17093258,5405303,0,27283586,0
BLC,2022Q1,Iowa,IA,4151485,25501882,6251991,0,35905358,0
BLC,2022Q1,Kentucky,KY,2049912,9110854,1709137,0,12869903,0
BLC,2022Q1,Louisiana,LA,751008,323716,967938,0,2042662,0
BLC,2022Q1,Maryland,MD,2561680,8070478,1995458,0,12627615,0
BLC,2022Q1,Massachusetts,MA,1655637,5997921,2356188,0,10009746,0
BLC,2022Q1,Minnesota,MN,2212734,8908620,2463359,0,13584713,0
BLC,2022Q1,Mississippi,MS,657220,543907,1017500,0,2218626,0
BLC,2022Q1,Montana,MT,368698,544207,711959,0,1624864,0
BLC,2022Q1,Nebraska,NE,917154,4288094,2431628,0,7636876,0
BLC,2022Q1,New Hampshire,NH,693347,4564481,2651052,0,7908881,0
BLC,2022Q1,New Jersey,NJ,3986857,7993912,7154705,0,19135474,0
BLC,2022Q1,New York,NY,322666,1594635,385436,0,2302737,0
BLC,2022Q1,North Carolina,NC,4834958,26334888,5940397,0,37110243,0
BLC,2022Q1,Ohio,OH,4586841,10576426,4175038,0,19338305,0
BLC,2022Q1,Oklahoma,OK,793711,976284,1545398,0,3315393,0
BLC,2022Q1,Pennsylvania,PA,7634262,27279285,9256559,0,44170107,0
BLC,2022Q1,Rhode Island,RI,1068646,7590216,867716,0,9526578,0
BLC,2022Q1,South Dakota,SD,207256,158693,1142502,0,1508451,0
BLC,2022Q1,Tennessee,TN,2627572,9776106,2922025,0,15325703,0
BLC,2022Q1,Utah,UT,322870,563539,572713,0,1459122,0
BLC,2022Q1,Vermont,VT,439656,655212,1120308,0,2215176,0
BLC,2022Q1,Washington,WA,2417243,8693717,5761286,0,16872245,0
BLC,2022Q1,West Virginia,WV,1618048,5333049,1356518,0,8307614,0
BLC,2022Q1,Wyoming,WY,87876,8500,279617,0,375993,0
BLC,2022Q1,American Samoa,AS,1187,0,0,0,1187,0
BLC,2022Q1,Puerto Rico,PR,14671,2040,0,0,16711,0
BLC,2022Q1,U.S. Virgin Islands,VI,1683,1343,0,0,3026,0
BLC,2022Q4,Alabama,AL,2882742,7135754,2932234,0,12950730,0
BLC,2022Q4,Alaska,AK,74249,200,66553,0,141002,0
BLC,2022Q4,Arizona,AZ,6016840,14761469,9633520,0,30411829,0
BLC,2022Q4,Arkansas,AR,3612464,7764664,4306332,0,15683460,0
BLC,2022Q4,California,CA,37628121,54221345,34178841,0,126028306,0
BLC,2022Q4,Colorado,CO,6894831,27765002,11441785,0,46101617,0
BLC,2022Q4,Connecticut,CT,9226299,29589937,10430324,0,49246559,0
BLC,2022Q4,Delaware,DE,2919512,6848002,3236855,0,13004369,899014000
BLC,2022Q4,District Of Columbia,DC,893345,1184764,434572,0,2512681,0
BLC,2022Q4,Florida,FL,49836926,190166639,65465006,305468570,82386,0
BLC,2022Q4,Georgia,GA,11177658,26698388,12465452,0,50341498,110453
BLC,2022Q4,Hawaii,HI,1694695,2217765,1906310,0,5818770,500000
BLC,2022Q4,Idaho,ID,1715758,3601459,5045260,0,10362477,0
BLC,2022Q4,Illinois,IL,21570876,25354807,14373053,0,61298736,100040000
BLC,2022Q4,Indiana,IN,19252371,72424218,21098059,0,112774648,20000
BLC,2022Q4,Iowa,IA,18627208,123031710,23589150,0,165248068,0
BLC,2022Q4,Kansas,KS,7566203,30630016,14683799,0,52880018,29120
BLC,2022Q4,Kentucky,KY,8371652,35340199,6769620,0,50481472,0
BLC,2022Q4,Louisiana,LA,3072439,1355139,3643111,0,8070689,0
BLC,2022Q4,Maine,ME,4448193,20067712,3510208,0,28026112,0
BLC,2022Q4,Maryland,MD,9933659,31698035,7907614,0,49539308,0
BLC,2022Q4,Massachusetts,MA,6527160,33293841,8013833,0,47834834,0
BLC,2022Q4,Michigan,MI,26940806,81285925,15674279,123901011,52416,0
BLC,2022Q4,Minnesota,MN,9935944,39658287,9406693,0,59000924,55670
BLC,2022Q4,Mississippi,MS,2843953,4282148,3892181,0,11018282,0
BLC,2022Q4,Missouri,MO,14005345,45045032,20258511,0,79308888,55000
BLC,2022Q4,Montana,MT,1386632,2119694,2650855,0,6157181,0
BLC,2022Q4,Nebraska,NE,3119325,24907705,9154620,0,37181651,0
BLC,2022Q4,Nevada,NV,2701216,1740978,3446009,0,7888203,0
BLC,2022Q4,New Hampshire,NH,2760859,24458304,10250141,0,37469304,25000
BLC,2022Q4,New Jersey,NJ,15698430,34724704,27839895,0,78263029,609044
BLC,2022Q4,New Mexico,NM,949440,2118346,1058200,0,4125986,0
BLC,2022Q4,New York,NY,1318811,2627856,1510178,0,5456845,0
