name,state,date_acquired,book_value,investment_income,ownership_pct
"Quantum Energy Partners VI, L.P. Houston",TX,08/07/2014,0,0,1.29
"Quona Accion Inclusion Fund III, L.P. Washington",DC,07/28/2021,0,0,4.95
RESILIENCEVC FUND I LP Washington,DC,11/14/2024,0,0,9.65
Revelstoke Holdings I LP Toronto,CAN,09/22/2021,0,0,0.57
"Riverstone Global Energy and Power Fund VI, L.P. New York",NY,10/31/2014,0,0,1.23
"Scale Venture Partners VI, L.P. Foster City",CA,06/27/2018,0,0,2.02
"Scale Venture Partners VII, L.P. Foster City",CA,11/02/2020,0,0,2.95
"Scale Venture Partners VIII, L.P. Foster City",CA,08/03/2022,0,0,0.83
Secondary Overflow Fund IV L.P. Boston,MA,04/30/2020,0,0,1.77
"Sigma Prime Partners IX, L.P. Boston",MA,05/30/2011,0,0,6.16
"SignalFire Early Fund IV, L.P. San Francisco",CA,03/29/2024,0,0,0.74
"SignalFire Seed Fund V, L.P. San Francisco",CA,03/29/2024,0,0,0.74
"Silver Lake Partners III, L.P. Menlo Park",CA,02/28/2007,0,0,0.1
"Silver Lake Partners IV, L.P. Menlo Park",CA,09/07/2012,0,0,0.35
"Silver Lake Partners VI, L.P. New York",NY,06/02/2020,0,0,0.08
"Admini- Date Type Actual Cost Additional for Spark Capital Growth Fund IV, L.P. Boston",MA,01/25/2022,0,0,0.24
"Spark Capital Growth Fund V, L.P. Boston",MA,02/29/2024,0,0,0.22
"Spark Capital VIII, L.P. Boston",MA,02/29/2024,0,0,0.21
"Sterling Investment Partners IV, L.P. Westport",CT,12/15/2021,0,0,1.0
TPG Asia VIII (A) L.P. Fort Worth,TX,06/22/2023,0,0,0.42
"TRIVEST DISCOVERY FUND II, L.P. Coral Gables",FL,04/19/2022,0,0,0.8
"TRIVEST FUND VII, L.P. Coral Gables",FL,04/19/2022,0,0,0.84
Tailwater Energy Fund III LP Dallas,TX,07/20/2018,0,0,3.33
Tailwater Energy Fund IV LP Dallas,TX,06/24/2019,0,0,3.89
"The Baring Asia Private Equity Fund VII, L.P. Hong Kong",CHN,07/10/2018,0,0,0.38
"The Veritas Capital Fund VII, L.P. New York",NY,08/09/2019,0,0,0.61
"The Veritas Capital Fund VIII, L.P. New York",NY,03/15/2022,0,0,0.09
"Tower Square Capital Partners III, L.P. Springfield",MA,09/29/2008,0,0,0.98
Trace Energy Resources Fund II LP (fka Denham Energy Resources Fund II LP) Boston,MA,10/30/2019,0,0,9.64
"Trident VIII, L.P. Greenwich",CT,05/03/2019,0,0,0.41
E03.4 Trilantic Energy Partners II (North America) L.P. Austin,TX,12/14/2018,0,0,15.49
"Trivest Growth Investment Fund II, LP Coral Gables",FL,12/19/2019,0,0,3.11
"Trivest Recognition Fund, L.P. Coral Gables",FL,01/13/2023,0,0,0.55
VIP IV LP London,GBR,05/13/2020,0,0,0.48
VIP V S.C.Sp. London,GBR,10/24/2022,0,0,0.13
"Valspring Capital Fund I, L.P. Boston",MA,06/25/2024,0,0,1.47
Vivify Aggregator LLC Chicago,IL,05/17/2022,0,0,2.35
"Waterfall Sentinel Fund I, L.P. New York",NY,12/15/2020,0,0,4.9
"WestCap Strategic Operator Fund II, L.P. New York",NY,10/07/2021,0,0,0.41
"WestCap Strategic Operator US Feeder Fund, L.P. New York",NY,01/19/2021,0,0,1.16
"Westlake BioPartners Fund II, L.P. Westlake Village",CA,05/07/2020,0,0,1.28
"Westlake BioPartners I, L.P. Westlake Village",CA,08/01/2018,0,0,2.54
"Westlake BioPartners Opportunity Fund I, L.P. Westlake Village",CA,05/07/2020,0,0,4.14
"Wind Point Partners IX, L.P. Chicago",IL,01/17/2020,0,0,1.17
"Wind Point Partners X-A, L.P. Chicago",IL,08/01/2022,0,0,0.41
"Wing Four, L.P. Palo Alto",CA,06/29/2023,0,0,1.01
"Wing Three, L.P. Menlo Park",CA,05/29/2020,0,0,1.72
