entity,period,state,loan_count,total_book_value,avg_interest_rate
AGL,2024Q4,ID,144,103678251.0,6.1926
AGL,2024Q4,IL,1680,1122863286.0,6.7135
AGL,2024Q4,IN,812,121235860.0,7.0018
AGL,2024Q4,IRL,7,757760161.0,5.4004
AGL,2024Q4,ITA,1,104728.0,7.349
AGL,2024Q4,KS,154,25799792.0,6.9879
AGL,2024Q4,KY,247,51666254.0,6.6837
AGL,2024Q4,LA,445,183124108.0,6.8433
AGL,2024Q4,MA,523,1836649886.0,6.2691
AGL,2024Q4,MD,2659,760943523.0,6.9742
AGL,2024Q4,ME,61,15210008.0,6.2375
AGL,2024Q4,MI,1156,168682782.0,7.0749
AGL,2024Q4,MN,219,119726183.0,5.8048
AGL,2024Q4,MO,863,147927868.0,7.1615
AGL,2024Q4,MS,221,32639016.0,6.8504
AGL,2024Q4,MT,42,20847869.0,5.9865
AGL,2024Q4,NC,1590,843357464.0,6.6842
AGL,2024Q4,ND,5,964996.0,6.9534
AGL,2024Q4,NE,82,12785001.0,6.738
AGL,2024Q4,NH,70,22330203.0,6.3442
AGL,2024Q4,NJ,2375,3717146362.0,6.7331
AGL,2024Q4,NLD,12,713246432.0,5.0319
AGL,2024Q4,NM,106,25105249.0,6.4442
AGL,2024Q4,NV,334,299502050.0,5.8101
AGL,2024Q4,NY,2207,5383738859.0,6.6252
AGL,2024Q4,OH,2342,873025990.0,7.0111
AGL,2024Q4,OK,246,47014670.0,6.81
AGL,2024Q4,OR,297,202529965.0,5.7692
AGL,2024Q4,PA,2035,929606232.0,7.157
AGL,2024Q4,RI,123,89840800.0,6.7692
AGL,2024Q4,SC,673,275528909.0,6.4968
AGL,2024Q4,SD,7,1200392.0,6.9736
AGL,2024Q4,TN,863,351088832.0,6.5822
AGL,2024Q4,TX,2808,3104655008.0,6.4281
AGL,2024Q4,UT,255,455442788.0,5.9583
AGL,2024Q4,VA,1028,716532264.0,6.2843
AGL,2024Q4,VT,11,3009980.0,5.8471
AGL,2024Q4,WA,706,703725436.0,5.4595
AGL,2024Q4,WI,468,79910952.0,6.986
AGL,2024Q4,WV,68,9379713.0,6.9674
AGL,2024Q4,WY,8,2971782.0,6.7536
AGL,2025Q4,AK,11,2540366.0,6.5692
AGL,2025Q4,AL,679,368797290.0,7.0879
AGL,2025Q4,AR,103,16563566.0,6.8496
AGL,2025Q4,AZ,760,692796957.0,5.9765
AGL,2025Q4,CA,3795,4541349097.0,5.173
AGL,2025Q4,CO,456,858995070.0,5.8318
AGL,2025Q4,CT,766,271483448.0,7.0098
AGL,2025Q4,DC,108,690480187.0,5.1446
AGL,2025Q4,DE,263,67957257.0,6.9241
AGL,2025Q4,DEU,11,1318191283.0,4.207
AGL,2025Q4,ESP,6,445127924.0,4.616
AGL,2025Q4,FIN,4,273229661.0,5.3187
AGL,2025Q4,FL,3911,3873143922.0,6.5517
AGL,2025Q4,FRA,2,333580386.0,4.678
AGL,2025Q4,GA,1687,789634883.0,6.6177
AGL,2025Q4,GBR,38,3629552803.0,5.749
AGL,2025Q4,HI,75,143264391.0,5.512
AGL,2025Q4,IA,48,14339427.0,6.1411
AGL,2025Q4,ID,143,145574990.0,6.0865
AGL,2025Q4,IL,1391,960171744.0,6.7109
AGL,2025Q4,IN,750,121943617.0,7.123
AGL,2025Q4,IRL,6,615235829.0,4.3657
AGL,2025Q4,KS,147,24638092.0,6.9643
AGL,2025Q4,KY,208,48273279.0,6.7205
AGL,2025Q4,LA,424,213569037.0,6.9429
AGL,2025Q4,MA,464,1786573388.0,6.1742
AGL,2025Q4,MD,2217,645703364.0,7.0741
AGL,2025Q4,ME,63,17162744.0,6.2086
AGL,2025Q4,MI,1006,243688199.0,7.1869
AGL,2025Q4,MN,181,411775546.0,5.6268
AGL,2025Q4,MO,781,233040978.0,7.2741
AGL,2025Q4,MS,216,58628163.0,6.922
AGL,2025Q4,MT,51,27393211.0,6.1599
AGL,2025Q4,NC,1419,770563395.0,6.7226
AGL,2025Q4,ND,5,914339.0,6.45
AGL,2025Q4,NE,81,14116590.0,6.7656
AGL,2025Q4,NH,70,27469165.0,6.3749
AGL,2025Q4,NJ,2047,2852406144.0,6.8085
AGL,2025Q4,NLD,10,544114740.0,4.4946
AGL,2025Q4,NM,95,24029700.0,6.1731
AGL,2025Q4,NV,320,258911193.0,5.6989
AGL,2025Q4,NY,2145,5529932859.0,6.6854
AGL,2025Q4,OH,2171,1138684749.0,7.1664
AGL,2025Q4,OK,252,50375775.0,6.9385
AGL,2025Q4,OR,272,193173772.0,5.4506
AGL,2025Q4,PA,1845,1238024558.0,7.1838
AGL,2025Q4,RI,108,100353469.0,6.7294
AGL,2025Q4,SC,624,217535505.0,6.6222
AGL,2025Q4,SD,8,1700777.0,6.8993
AGL,2025Q4,TN,851,398578634.0,6.6331
AGL,2025Q4,TX,2749,2645885615.0,6.4895
AGL,2025Q4,US,4,7570327.0,6.3
AGL,2025Q4,UT,233,462685123.0,5.772
