name,state,date_acquired,book_value,investment_income,ownership_pct
AIG Global Real Estate Investment Corp,,08/13/2021,0,0,0.05
AIG Global Real Estate Investment Corp,,12/30/2018,0,0,0.041
AIG Global Real Estate Investment Corp,,12/30/2018,0,0,0.01
AIG Global Real Estate Investment Corp,,07/01/2021,0,0,0.096
AIGGRE Europe Real Estate Fund I S.C.SP London Brightwood Capital Advisors,,04/25/2017,0,0,0.0
Baldwin Harbor Apartments LP Orlando AIG Global Real Estate Investment Corp,,09/30/2019,0,0,0.48
Crimson - USL Pembroke,,10/06/2021,0,0,0.0
"Luxor Capital Partners Liquidating SPV, LLC New York InSight Venture Partners",,12/28/2007,-16940,0,0.006
Azul Upsize Various,,12/22/2020,-76515,0,0.0
The Hanley NEW YORK,NY,04/05/2019,-89040,1002376,0.047
"COATUE HYBRID FUND I, LP New York",NY,01/31/2013,-627794,0,0.0
The Spiral NEW YORK,NY,01/29/2019,-1099093,747036,0.0
"Prana Absolute Return Fund, LP Charlotte FL 0 0 Ridgemont Equity Partners I, LP Charlotte",DE,01/31/2012,-18027731,807100,0.0
